Value,Percentile,TotalCount,1/(1-Percentile)
0.076,0.000000,1,1.00
0.374,0.100000,58695,1.11
0.412,0.200000,117207,1.25
0.441,0.300000,175296,1.43
0.466,0.400000,233635,1.67
0.489,0.500000,292634,2.00
0.501,0.550000,321057,2.22
0.514,0.600000,350571,2.50
0.526,0.650000,377567,2.86
0.541,0.700000,407962,3.33
0.554,0.750000,436286,4.00
0.562,0.775000,451373,4.44
0.571,0.800000,465820,5.00
0.581,0.825000,480149,5.71
0.591,0.850000,494536,6.67
0.601,0.875000,509000,8.00
0.607,0.887500,516113,8.89
0.614,0.900000,522994,10.00
0.622,0.912500,529851,11.43
0.631,0.925000,537291,13.33
0.640,0.937500,544369,16.00
0.646,0.943750,548347,17.78
0.652,0.950000,551820,20.00
0.659,0.956250,555457,22.86
0.667,0.962500,559087,26.67
0.676,0.968750,562511,32.00
0.682,0.971875,564426,35.56
0.689,0.975000,566313,40.00
0.696,0.978125,567926,45.71
0.707,0.981250,569869,53.33
0.722,0.984375,571618,64.00
0.732,0.985938,572495,71.11
0.746,0.987500,573411,80.00
0.769,0.989062,574297,91.43
0.825,0.990625,575180,106.67
0.921,0.992188,576087,128.00
0.969,0.992969,576538,142.22
1.023,0.993750,576993,160.00
1.075,0.994531,577446,182.86
1.132,0.995313,577899,213.33
1.190,0.996094,578351,256.00
1.220,0.996484,578584,284.44
1.248,0.996875,578814,320.00
1.273,0.997266,579041,365.71
1.299,0.997656,579263,426.67
1.328,0.998047,579485,512.00
1.344,0.998242,579600,568.89
1.362,0.998437,579716,640.00
1.380,0.998633,579828,731.43
1.398,0.998828,579944,853.33
1.419,0.999023,580053,1024.00
1.433,0.999121,580110,1137.78
1.451,0.999219,580166,1280.00
1.468,0.999316,580226,1462.86
1.496,0.999414,580282,1706.67
1.522,0.999512,580336,2048.00
1.540,0.999561,580364,2275.56
1.570,0.999609,580393,2560.00
1.591,0.999658,580422,2925.71
1.637,0.999707,580449,3413.33
1.696,0.999756,580478,4096.00
1.723,0.999780,580492,4551.11
1.751,0.999805,580506,5120.00
1.793,0.999829,580520,5851.43
1.847,0.999854,580534,6826.67
1.911,0.999878,580549,8192.00
1.941,0.999890,580556,9102.22
2.032,0.999902,580563,10240.00
2.089,0.999915,580571,11702.86
2.223,0.999927,580577,13653.33
2.251,0.999939,580584,16384.00
2.291,0.999945,580588,18204.44
2.327,0.999951,580591,20480.00
2.401,0.999957,580595,23405.71
2.487,0.999963,580598,27306.67
2.629,0.999969,580602,32768.00
2.655,0.999973,580604,36408.89
2.681,0.999976,580605,40960.00
2.781,0.999979,580607,46811.43
3.115,0.999982,580609,54613.33
3.405,0.999985,580611,65536.00
3.435,0.999986,580612,72817.78
3.435,0.999988,580612,81920.00
3.455,0.999989,580613,93622.86
3.515,0.999991,580614,109226.67
3.529,0.999992,580615,131072.00
3.557,0.999993,580616,145635.56
3.557,0.999994,580616,163840.00
3.557,0.999995,580616,187245.71
3.737,0.999995,580617,218453.33
3.737,0.999996,580617,262144.00
3.923,0.999997,580618,291271.11
3.923,0.999997,580618,327680.00
3.923,0.999997,580618,374491.43
3.923,0.999998,580618,436906.67
3.923,0.999998,580618,524288.00
3.969,0.999998,580619,582542.22
3.969,1.000000,580619,inf
